Key,Description,en,fr
AV-42C_mfd_map:B3_tooltip,Tooltip for an MFD button.,Send GPS Target,Envoyer Cible GPS
AV-42C_mfd_options:L2_tooltip,Tooltip for an MFD button.,Unit Options,Options Unite
AV-42C_mfd_options:L3_tooltip,Tooltip for an MFD button.,Fuel Settings,Reglages Carburant
AV-42C_mfd_options:L4_tooltip,Tooltip for an MFD button.,Altitude Warning Settings,Reglages Avertissement Altitude
AV-42C_mfd_options:R3_tooltip,Tooltip for an MFD button.,Joystick Sensitivity,Sensibilite Joystick
AV-42C_mfd_unitOptions:L2_tooltip,Tooltip for an MFD button.,Altitude Units,Unites d'Altitude
AV-42C_mfd_unitOptions:L3_tooltip,Tooltip for an MFD button.,Distance Units,Unites de Distance
AV-42C_mfd_unitOptions:L4_tooltip,Tooltip for an MFD button.,Speed Units,Unites de Vitesse
AV-42C_mfd_unitOptions:T5_tooltip,Tooltip for an MFD button.,Back,Retour
AV-42C_mfd_fuelConfig:T5_tooltip,Tooltip for an MFD button.,Back,Retour
AV-42C_mfd_fuelConfig:L4_tooltip,Tooltip for an MFD button.,Bingo Fuel +,Carburant Bingo +
AV-42C_mfd_fuelConfig:L5_tooltip,Tooltip for an MFD button.,Bingo Fuel -,Carburant Bingo -
AV-42C_mfd_altitudeSettings:T5_tooltip,Tooltip for an MFD button.,Back,Retour
AV-42C_mfd_altitudeSettings:L3_tooltip,Tooltip for an MFD button.,Min Alt +,Alt Min +
AV-42C_mfd_altitudeSettings:L4_tooltip,Tooltip for an MFD button.,Min Alt -,Alt Min -
AV-42C_mfd_altitudeSettings:R3_tooltip,Tooltip for an MFD button.,Max Alt +,Alt Max +
AV-42C_mfd_altitudeSettings:R4_tooltip,Tooltip for an MFD button.,Max Alt -,Alt Max -
AV-42C_mfd_altitudeSettings:L2_tooltip,Tooltip for an MFD button.,Toggle Alt Mode,Activer Mode Altitude
EUCAV GUN_fullName,Full equip name of: EUCAV GUN,EUCAV GUN,EUCAV GUN
EUCAV GUN_description,Item description of: EUCAV GUN,EUCAV GUN,EUCAV GUN
GBU-53 Advanced SD Bomb x4_fullName,Full equip name of: GBU-53 Advanced SD Bomb x4,GBU-53 Advanced SD Bomb x4,GBU-53 Advanced SD Bomb x4
GBU-53 Advanced SD Bomb x4_description,Item description of: GBU-53 Advanced SD Bomb x4,An internally mounted rack of 4 optically guided small diameter bomb. Each bomb has built-in folding wings that allow it to glide for long distances and hit targets with precision. Advanced optics allow it to track moving targets from extended range without laser designation.,Un rack interne de 4 bombes a petit diametre guidees optiquement. Chaque bombe possede des ailes repliables integrees qui lui permettent de planer sur de longues distances et de frapper les cibles avec precision. Les optiques avancees permettent de suivre des cibles en mouvement a longue portee sans designation laser.
eqSublabel_OPTICAL-BOMB-FAF,HUD sub-label of an equip,OPTICAL BOMB FAF,BOMBES OPTIQUES FAF
AGM-145 Ballista x4_fullName,Full equip name of: AGM-145 Ballista x4,AGM-145 Ballista x4,AGM-145 Ballista x4
AGM-145 Ballista x4_description,Item description of: AGM-145 Ballista x4,"Small anti-tank missiles with advanced optics, ""fire and forget"", and smart self-targeting technology. Can be fired without line of sight to the designated target point, and will acquire hostile targets automatically.","Petits missiles anti-char avec des optiques avancees, ""tirer et oublier"", et une technologie de ciblage automatique. Peuvent etre tires sans ligne de vue vers le point de cible designe et acquierent automatiquement les cibles hostiles."
SB-1 x32_fullName,Full equip name of: SB-1 x32,SB-1 x32,SB-1 x32
SB-1 x32_description,Item description of: SB-1 x32,A rack of 32 standard un-guided 500lb bombs.,Un rack de 32 bombes standards non guidees de 500 lb.
AGM-126 SideARM II x1_fullName,Full equip name of: AGM-126 SideARM II x1,AGM-126 SideARM II x1,AGM-126 SideARM II x1
AGM-126 SideARM II x1_description,Item description of: AGM-126 SideARM II x1,Compact short range anti-radiation missile based on the AIM-9x.,Missiles anti-radar a courte portee compacts bases sur l'AIM-9x.
AGM-65 x3_fullName,Full equip name of: AGM-65 x3,AGM-65 x3,AGM-65 x3
AGM-65 x3_description,Item description of: AGM-65 x3,"A medium range optically guided ""fire-and-forget"" anti-tank missile.","Missiles anti-char a moyenne portee guides optiquement, ""tirer et oublier""."
Mk-82 Bomb x2_fullName,Full equip name of: Mk-82 Bomb x2,Mk-82 Bomb x2,Mk-82 Bomb x2
Mk-82 Bomb x2_description,Item description of: Mk-82 Bomb x2,Two standard un-guided 500lb bombs.,Deux bombes standards non guidees de 500 lb.
loadingView_loadingMap,Text in custom map loading view.,Loading map...,Chargement de la carte...
Mk.82 Bomb x3_fullName,Full equip name of: Mk.82 Bomb x3,Mk.82 Bomb x3,Mk.82 Bomb x3
Mk.82 Bomb x3_description,Item description of: Mk.82 Bomb x3,Standard un-guided 500lb bombs.,Bombes standards non guidees de 500 lb.
mfdpOpenMenu,Tooltip for button that opens a menu.,Open Menu,Ouvrir Menu
mfdpBLANK,Label for a minimized MFD portal that is empty. Opens the portal menu.,BLANK,BLANK
MFDPortalHome_MFDPortalPage_pageName,MFD portal page name,Menu,Menu
MFDPortalHome_MFDPortalPage_pageLabel,MFD portal page button label,MENU,MENU
EOTSPortalPage_MFDPortalPage_pageName,MFD portal page name,EO Targeting,EO Ciblage
EOTSPortalPage_MFDPortalPage_pageLabel,MFD portal page button label,EOTS,EOTS
MapMFDPage_MFDPortalPage_pageName,MFD portal page name,Nav Map,Nav Carte
MapMFDPage_MFDPortalPage_pageLabel,MFD portal page button label,NAV,NAV
ObjectivesPage_MFDPortalPage_pageName,MFD portal page name,Objectives,Objectifs
ObjectivesPage_MFDPortalPage_pageLabel,MFD portal page button label,OBJCTV,OBJCTV
MFDCommsMenu_MFDPortalPage_pageName,MFD portal page name,Communications,Communications
MFDCommsMenu_MFDPortalPage_pageLabel,MFD portal page button label,COMMS,COMMS
SCamPage_MFDPortalPage_pageName,MFD portal page name,SpectatorCam,SpectateurCam
SCamPage_MFDPortalPage_pageLabel,MFD portal page button label,S-CAM,S-CAM
RWRPage_MFDPortalPage_pageName,MFD portal page name,RWR,RWR
RWRPage_MFDPortalPage_pageLabel,MFD portal page button label,RWR,RWR
TacticalSituationDisplay_MFDPortalPage_pageName,MFD portal page name,Tactical Situation Display,Affichage Situation Tactique
TacticalSituationDisplay_MFDPortalPage_pageLabel,MFD portal page button label,TSD,TSD
OptionsPage_MFDPortalPage_pageName,MFD portal page name,Vehicle Options,Options du Vehicule
OptionsPage_MFDPortalPage_pageLabel,MFD portal page button label,OPTS,OPTS
F-45A_mfd_altitudeSettings:T5_tooltip,Tooltip for an MFD button.,Back,Retour
F-45A_mfd_altitudeSettings:L3_tooltip,Tooltip for an MFD button.,Min Alt +,Alt Min +
F-45A_mfd_altitudeSettings:L4_tooltip,Tooltip for an MFD button.,Min Alt -,Alt Min -
F-45A_mfd_altitudeSettings:R3_tooltip,Tooltip for an MFD button.,Max Alt +,Alt Max +
F-45A_mfd_altitudeSettings:R4_tooltip,Tooltip for an MFD button.,Max Alt -,Alt Max -
F-45A_mfd_altitudeSettings:L2_tooltip,Tooltip for an MFD button.,Toggle Alt Mode,Activer Mode Alt
StoresManagementPage_MFDPortalPage_pageName,MFD portal page name,Stores Mgmt Sys,Stocks Mgmt Sys
StoresManagementPage_MFDPortalPage_pageLabel,MFD portal page button label,SMS,SMS
s_sms_mode_0,SMS mode button labels,Config,Configuration
s_sms_mode_1,SMS mode button labels,Arming,Armement
s_sms_mode_2,SMS mode button labels,Jettison,Ejection
s_sms_armed,Armed label for an equip in the SMS config view.,[ ARMED ],[ ARMED ]
s_sms_disarmed,Disarmed label for an equip in the SMS config view.,DISARMED,DISARMED
s_sms_jettison,Jettison label for an equip in the SMS config view.,JETTISON,EJECTION
s_sms_optionToggle,Tooltip prefix for SMS equipment option toggles,Toggle,Activer
s_sms_optionRipple,Ripple button label for SMS equipment option.,Ripple,Ripple
s_sms_rippleSingle,Label for ripple setting set to single-fire (no ripple),Single,Unique
s_bdo_open,SMS bay door override in OPEN position,OPEN,OUVRIR
s_bdo_auto,SMS bay door override in AUTO position,AUTO,AUTO
RadarDisplay_MFDPortalPage_pageName,MFD portal page name,Radar,Radar
RadarDisplay_MFDPortalPage_pageLabel,MFD portal page button label,RADAR,RADAR
GameMenuPage_MFDPortalPage_pageName,MFD portal page name,Game Menu,Menu du Jeu
GameMenuPage_MFDPortalPage_pageLabel,MFD portal page button label,GAME,JEU
GPSSystem_MFDPortalPage_pageName,MFD portal page name,GPS Targets,Cibles GPS
GPSSystem_MFDPortalPage_pageLabel,MFD portal page button label,GPST,GPST
CAGM-6 Cluster Missile_fullName,Full equip name of: CAGM-6 Cluster Missile,CAGM-6 Cluster Missile,Missile Cluster CAGM-6
CAGM-6 Cluster Missile_description,Item description of: CAGM-6 Cluster Missile,"An optically guided ""fire-and-forget"" missile. 
Deploys 6 submunitions that independently seek targets in the field of view.","Missile guide par optique, « feu et oublie ». 
Deploie 6 sous-munitions qui recherchent independamment des cibles dans le champ de vision."""
eqSublabel_OPTICAL-FF-CLUSTER,HUD sub-label of an equip,OPTICAL FF CLUSTER,CLUSTER OPTIQUE FF
MAD-4 Missile_fullName,Full equip name of: MAD-4 Missile,MAD-4 Missile,Missile MAD-4
MAD-4 Missile_description,Item description of: MAD-4 Missile,Standard radar-guided missile built for the Mobile Air Defense launcher. It has a range of about 55km (30nm).,Missile guide par radar standard concu pour le lanceur Mobile Air Defense. Portee d'environ 55 km (30 nm).
FLKM-100_fullName,Full equip name of: FLKM-100,FLKM-100,FLKM-100
FLKM-100_description,Item description of: FLKM-100,Dual stage long range radar-guided missile that deploys a field of explosive munitions.,Missile a double etage guide par radar a longue portee qui deploie un champ de munitions explosives.
4200L Fuel Drop Tank_fullName,Full equip name of: 4200L Fuel Drop Tank,4200L Fuel Drop Tank,Reservoir de Carburant 4200L
4200L Fuel Drop Tank_description,Item description of: 4200L Fuel Drop Tank,A 4200 liter fuel tank.,Un reservoir de carburant de 4200 litres.
tutName_Getting Started,Name of a legacy tutorial objective,Getting Started,Debuter
tutDesc_Getting Started,Description of a legacy tutorial,Complete the intro tutorial.,Completez le tutoriel d'introduction.
tut:Getting Started:Intro10,A tutorial label,Welcome to the AV-42C,Bienvenue a l'AV-42C
tut:Getting Started:Intro21,A tutorial label,"First, let's keep the bird from rolling away.","Pour commencer, empechons l'appareil de rouler."
tut:Getting Started:Brake Lock2,A tutorial label,Enable Brake Lock,Activer le Verrou de Frein
tut:Getting Started:Startup3,A tutorial label,Now lets move on to the start-up sequence.,Passons maintenant a la sequence de demarrage.
tut:Getting Started:Enable battery4,A tutorial label,Enable Battery,Activer la Batterie
tut:Getting Started:start up apu5,A tutorial label,Start APU,Demarrer l'APU
tut:Getting Started:wait spool apu6,A tutorial label,Let the APU spool up a bit.,Laissez l'APU se stabiliser un peu.
tut:Getting Started:StartLeftEngine7,A tutorial label,Start Left Engine,Demarrer le Moteur Gauche
tut:Getting Started:StartRightEngine8,A tutorial label,Start Right Engine,Demarrer le Moteur Droit
tut:Getting Started:WaitSpool9,A tutorial label,Wait for the engines to spool up.,Attendez que les moteurs se stabilisent.
tut:Getting Started:NoNeedAPU10,A tutorial label,The engines are now supplying power. We can turn off the APU.,Les moteurs fournissent maintenant de l'energie. Nous pouvons eteindre l'APU.
tut:Getting Started:TurnOffAPU11,A tutorial label,Turn off APU.,Eteindre l'APU
tut:Getting Started:EnableHUD12,A tutorial label,Turn on the HUD,Activer le HUD
tut:Getting Started:HUDInfo13,A tutorial label,"The HUD (Heads-Up Display) shows you attitude, altitude, velocity, targeting reticles, and other important flight data at a glance.","Le HUD (Affichage Tete Haute) vous montre l'attitude, l'altitude, la vitesse, les reticules de ciblage et d'autres donnees importantes en un coup d'œil."
tut:Getting Started:EnableMFD114,A tutorial label,Turn on the MFD 1,Activer le MFD 1
tut:Getting Started:EnableMFD215,A tutorial label,Turn on the MFD 2,Activer le MFD 2
tut:Getting Started:EnableMFD316,A tutorial label,Turn on the MFD 3,Activer le MFD 3
tut:Getting Started:MFD info17,A tutorial label,The MFDs (Multi-Function Displays) give you access to,Les MFD (Affichages Multifonctions) vous donnent acces
tut:Getting Started:MFD info 218,A tutorial label,"aircraft features such as weapon configuration, navigation maps,","aux fonctionnalites de l'avion telles que la configuration des armes, les cartes de navigation, les "
tut:Getting Started:MFD info 319,A tutorial label,"sensors, etc. You can access these features by pressing the corresponding buttons around the edge of the monitor.","capteurs, etc. Vous pouvez acceder a ces fonctionnalites en appuyant sur les boutons correspondants autour du moniteur."
tut:Getting Started:ReadyToFly20,A tutorial label,The vehicle is now ready to fly. Up next: Basic Flight,L'appareil est maintenant pret a voler. Passons a : Vol de Base
tutName_Basic Flight,Name of a legacy tutorial objective,Basic Flight,Vol de Base
tutDesc_Basic Flight,Description of a legacy tutorial,Complete the tutorial.,Completez le tutoriel de vol de base.
tut:Basic Flight:Intro10,A tutorial label,Welcome to the Basic Flight tutorial.,Bienvenue dans le didacticiel de Vol de Base
tut:Basic Flight:Intro21,A tutorial label,We'll skip the start-up procedure now.,Nous allons maintenant ignorer la procedure de demarrage.
tut:Basic Flight:Intro32,A tutorial label,"The main flight controls are the joystick and throttle. You can grip them by holding the grip buttons, or toggle lock your hands to them by tapping the grip buttons.","Les principaux controles de vol sont le joystick et la manette des gaz. Vous pouvez les saisir en maintenant les boutons de prise, ou verrouiller vos mains en appuyant sur les boutons de prise."
tut:Basic Flight:StartTaxi3,A tutorial label,Let's start with taxiing.,Commencons par le roulage.
tut:Basic Flight:GrabStick4,A tutorial label,Grab Joystick,Saisir le Joystick
tut:Basic Flight:GrabThrottle5,A tutorial label,Grab Throttle,Saisir la Manette des Gaz
tut:Basic Flight:SteerInfo6,A tutorial label,"To steer the front wheel, you will have to twist the joystick on the vertical axis.","Pour diriger la roue avant, vous devrez faire pivoter le joystick sur l'axe vertical."
tut:Basic Flight:TiltInfo7,A tutorial label,"In order to get moving, we need to tilt the engines to the forward position.","Pour commencer a bouger, nous devons incliner les moteurs en position avant."
tut:Basic Flight:HoldBrakes8,A tutorial label,Hold the throttle trigger to lock the brakes,Maintenez la gachette des gaz pour verrouiller les freins.
tut:Basic Flight:StartTilt9,A tutorial label,Then press and hold up on the throttle thumb control to tilt the engines forward.,Puis appuyez et maintenez la commande des gaz pour incliner les moteurs vers l'avant.
tut:Basic Flight:StartRoll10,A tutorial label,"If you release the brakes and slightly lift the throttle lever, you will start to roll.","Si vous relachez les freins et soulevez legerement la manette des gaz, vous commencerez a rouler."
tut:Basic Flight:ControlSpeed11,A tutorial label,Apply small amounts of throttle or brakes to control your speed.,Appliquez des petites quantites de gaz ou des freins pour controler votre vitesse.
tut:Basic Flight:DriveToRamp12,A tutorial label,Drive over here!,Conduisez jusqu'ici !
tut:Basic Flight:DriveToRamp213,A tutorial label,Drive over here!,Conduisez jusqu'ici !
tut:Basic Flight:Fullstop14,A tutorial label,Full stop! Throttle down and hold the throttle brake trigger.,Arret complet ! Reduisez les gaz et maintenez la gachette des freins.
tut:Basic Flight:PrepareTakeoff15,A tutorial label,Let's prepare for a conventional take-off.,Preparons-nous pour un decollage conventionnel.
tut:Basic Flight:SetBrakeLock16,A tutorial label,Set the brake lock so you can free up your hands.,Reglez le verrou de frein pour liberer vos mains.
tut:Basic Flight:Set flaps.17,A tutorial label,Set flaps to setting 1.,Reglez les volets sur le reglage 1.
tut:Basic Flight:SetAssists18,A tutorial label,Make sure all flight assists are enabled,Assurez-vous que toutes les aides au vol sont activees.
tut:Basic Flight:EnsureTilt19,A tutorial label,Check that the engines are tilted all the way forward.,Verifiez que les moteurs sont inclines completement vers l'avant.
tut:Basic Flight:GrabThrottle220,A tutorial label,Now grab the throttle and hold the brakes...,"Maintenant, saisissez la manette des gaz et maintenez les freins..."
tut:Basic Flight:Unlock Brakes21,A tutorial label,...so you can disable brake lock.,... pour desactiver le verrou de frein.
tut:Basic Flight:TurnOntoRunway22,A tutorial label,Now turn left onto runway 20,"Maintenant, tournez a gauche sur la piste 20."
tut:Basic Flight:BeforeTakeoff23,A tutorial label,"Now.. to take off, raise the throttle to full and steer to keep aligned with the runway.","Maintenant, pour decoller, augmentez les gaz au maximum et dirigez pour rester aligne avec la piste."
tut:Basic Flight:WaitSpeed24,A tutorial label,Speed up to [80]! Straight down the runway!,Accelerez jusqu'a [80] ! Tout droit sur la piste !
tut:Basic Flight:Rotate!25,A tutorial label,Now carefully rotate the joystick back to pull the nose up!,"Maintenant, faites pivoter doucement le joystick en arriere pour lever le nez !"
tut:Basic Flight:Liftoff!26,A tutorial label,Great! You're in the air.,Super ! Vous etes dans les airs.
tut:Basic Flight:RaiseGear27,A tutorial label,Raise the landing gear.,Relevez le train d'atterrissage.
tut:Basic Flight:RaiseFlaps28,A tutorial label,Set flaps to 0 (retracted),Reglez les volets a 0 (retractes).
tut:Basic Flight:GainAltitude29,A tutorial label,Now gently steer your nose to about 20 degrees and keep climbing to {1000} ASL.,"Maintenant, dirigez doucement votre nez a environ 20 degres et continuez a monter jusqu'a {1000} ASL."
tut:Basic Flight:FlightControls30,A tutorial label,Let's practice basic flight controls.,Exercons-nous sur les controles de vol de base.
tut:Basic Flight:Roll31,A tutorial label,Rotate the joystick left or right to roll towards your target,Faites pivoter le joystick a gauche ou a droite pour incliner vers votre cible.
tut:Basic Flight:Pitch32,A tutorial label,Rotate the joystick forward or back to pitch your nose towards it.,Faites pivoter le joystick en avant ou en arriere pour incliner votre nez vers elle.
